,date,ticker,data.open,data.high,data.low,data.close,data.volume,data.is_extended_hours
851,2021-11-16T12:00:00.000Z,AAPL,151.19,151.49,151.07,151.16,46287,False
852,2021-11-16T11:00:00.000Z,AAPL,149.67,151.34,149.67,151.16,103216,False
853,2021-11-16T10:00:00.000Z,AAPL,149.85,149.88,149.35,149.67,85254,False
854,2021-11-16T09:00:00.000Z,AAPL,149.95,150.39,149.65,149.86,78904,False
855,2021-11-15T15:00:00.000Z,AAPL,149.98,150.26,149.77,149.98,132694,False
856,2021-11-15T14:00:00.000Z,AAPL,149.92,150.21,149.76,149.99,52265,False
857,2021-11-15T13:00:00.000Z,AAPL,150.05,150.13,149.9,149.91,42591,False
858,2021-11-15T12:00:00.000Z,AAPL,149.77,150.23,149.55,150.05,58852,False
859,2021-11-15T11:00:00.000Z,AAPL,150.33,150.51,149.45,149.77,86809,False
860,2021-11-15T10:00:00.000Z,AAPL,150.96,151.0,150.26,150.32,117608,False
861,2021-11-15T09:00:00.000Z,AAPL,150.38,151.88,150.3,150.96,132900,False
862,2021-11-12T15:00:00.000Z,AAPL,149.9,150.4,149.75,149.98,171512,False
863,2021-11-12T14:00:00.000Z,AAPL,149.94,150.02,149.75,149.9,45759,False
864,2021-11-12T13:00:00.000Z,AAPL,149.57,149.96,149.31,149.93,81459,False
865,2021-11-12T12:00:00.000Z,AAPL,149.8,149.88,149.55,149.57,64688,False
866,2021-11-12T11:00:00.000Z,AAPL,148.57,150.08,148.54,149.81,145746,False
867,2021-11-12T10:00:00.000Z,AAPL,147.99,148.77,147.78,148.57,79991,False
868,2021-11-12T09:00:00.000Z,AAPL,148.42,148.49,147.48,148.02,65699,False
869,2021-11-11T16:00:00.000Z,AAPL,147.88,147.88,147.88,147.88,2,False
870,2021-11-11T15:00:00.000Z,AAPL,148.06,148.14,147.76,147.84,66053,False
871,2021-11-11T14:00:00.000Z,AAPL,147.85,148.3,147.83,148.08,41930,False
872,2021-11-11T13:00:00.000Z,AAPL,147.96,147.96,147.69,147.84,29639,False
873,2021-11-11T12:00:00.000Z,AAPL,148.28,148.3,147.88,147.98,26979,False
874,2021-11-11T11:00:00.000Z,AAPL,148.35,148.57,148.16,148.27,47169,False
875,2021-11-11T10:00:00.000Z,AAPL,148.66,148.66,148.18,148.36,74695,False
876,2021-11-11T09:00:00.000Z,AAPL,148.95,149.07,148.15,148.64,63112,False
877,2021-11-10T15:00:00.000Z,AAPL,148.15,148.28,147.85,147.92,225685,False
878,2021-11-10T14:00:00.000Z,AAPL,148.5,148.52,147.94,148.15,129203,False
879,2021-11-10T13:00:00.000Z,AAPL,149.18,149.18,148.35,148.51,95631,False
880,2021-11-10T12:00:00.000Z,AAPL,149.09,149.18,148.82,149.18,58613,False
881,2021-11-10T11:00:00.000Z,AAPL,148.96,149.08,148.69,149.07,96300,False
882,2021-11-10T10:00:00.000Z,AAPL,149.06,149.61,148.72,148.96,124918,False
883,2021-11-10T09:00:00.000Z,AAPL,150.03,150.12,147.96,149.02,123713,False
884,2021-11-09T15:00:00.000Z,AAPL,150.8,151.07,150.63,150.87,176864,False
885,2021-11-09T14:00:00.000Z,AAPL,150.7,150.97,150.62,150.83,69755,False
886,2021-11-09T13:00:00.000Z,AAPL,151.02,151.21,150.55,150.72,56762,False
887,2021-11-09T12:00:00.000Z,AAPL,150.88,151.24,150.5,151.01,100946,False
888,2021-11-09T11:00:00.000Z,AAPL,150.88,151.17,150.59,150.88,95682,False
889,2021-11-09T10:00:00.000Z,AAPL,150.96,151.2,150.17,150.88,139360,False
890,2021-11-09T09:00:00.000Z,AAPL,150.17,151.41,150.08,150.93,154799,False
891,2021-11-08T15:00:00.000Z,AAPL,150.65,150.65,150.32,150.45,87998,False
892,2021-11-08T14:00:00.000Z,AAPL,150.58,150.78,150.52,150.67,26728,False
893,2021-11-08T13:00:00.000Z,AAPL,150.59,151.01,150.53,150.61,57769,False
894,2021-11-08T12:00:00.000Z,AAPL,150.4,150.6,150.18,150.6,53154,False
895,2021-11-08T11:00:00.000Z,AAPL,150.76,150.88,150.36,150.42,78789,False
896,2021-11-08T10:00:00.000Z,AAPL,150.96,151.44,150.76,150.76,96134,False
897,2021-11-08T09:00:00.000Z,AAPL,151.57,151.57,150.72,150.98,84353,False
898,2021-11-05T15:00:00.000Z,AAPL,150.65,151.44,150.38,151.26,147735,False
899,2021-11-05T14:00:00.000Z,AAPL,150.54,150.67,150.22,150.61,73865,False
900,2021-11-05T13:00:00.000Z,AAPL,150.81,150.87,150.07,150.52,44127,False
901,2021-11-05T12:00:00.000Z,AAPL,150.9,151.05,150.54,150.82,67521,False
902,2021-11-05T11:00:00.000Z,AAPL,151.13,151.32,150.86,150.93,52865,False
903,2021-11-05T10:00:00.000Z,AAPL,151.64,151.77,150.85,151.14,93985,False
904,2021-11-05T09:00:00.000Z,AAPL,151.88,152.17,151.25,151.63,105845,False
905,2021-11-04T15:00:00.000Z,AAPL,151.19,151.54,150.65,150.99,154773,False
906,2021-11-04T14:00:00.000Z,AAPL,151.53,151.53,151.13,151.18,71685,False
907,2021-11-04T13:00:00.000Z,AAPL,151.22,151.57,151.03,151.54,52606,False
908,2021-11-04T12:00:00.000Z,AAPL,151.4,151.66,151.15,151.22,56249,False
909,2021-11-04T11:00:00.000Z,AAPL,151.93,151.95,150.84,151.37,103983,False
910,2021-11-04T10:00:00.000Z,AAPL,152.06,152.1,151.55,151.93,115218,False
911,2021-11-04T09:00:00.000Z,AAPL,151.62,152.42,151.31,152.1,99251,False
912,2021-11-03T15:00:00.000Z,AAPL,151.24,151.97,151.04,151.42,174446,False
913,2021-11-03T14:00:00.000Z,AAPL,150.23,151.38,150.22,151.22,71588,False
914,2021-11-03T13:00:00.000Z,AAPL,150.36,150.44,150.2,150.32,37284,False
915,2021-11-03T12:00:00.000Z,AAPL,150.49,150.69,150.37,150.37,41639,False
916,2021-11-03T11:00:00.000Z,AAPL,150.26,150.57,150.17,150.51,39349,False
917,2021-11-03T10:00:00.000Z,AAPL,150.76,150.81,150.11,150.25,56597,False
918,2021-11-03T09:00:00.000Z,AAPL,150.37,150.97,149.85,150.73,93223,False
919,2021-11-02T16:00:00.000Z,AAPL,150.03,150.03,150.03,150.03,400,False
920,2021-11-02T15:00:00.000Z,AAPL,150.37,150.42,149.83,150.0,170814,False
921,2021-11-02T14:00:00.000Z,AAPL,150.95,150.95,150.08,150.35,109587,False
922,2021-11-02T13:00:00.000Z,AAPL,151.42,151.46,150.87,150.95,66332,False
923,2021-11-02T12:00:00.000Z,AAPL,150.93,151.47,150.6,151.41,101970,False
924,2021-11-02T11:00:00.000Z,AAPL,150.89,151.56,150.63,150.91,109818,False
925,2021-11-02T10:00:00.000Z,AAPL,149.93,150.89,149.34,150.89,167593,False
926,2021-11-02T09:00:00.000Z,AAPL,148.69,150.49,148.69,149.86,112984,False
927,2021-11-01T15:00:00.000Z,AAPL,148.34,148.98,148.33,148.88,188296,False
928,2021-11-01T14:00:00.000Z,AAPL,148.6,148.69,148.28,148.34,52579,False
929,2021-11-01T13:00:00.000Z,AAPL,148.93,149.01,148.53,148.57,73423,False
930,2021-11-01T12:00:00.000Z,AAPL,148.89,149.02,148.67,148.94,85034,False
931,2021-11-01T11:00:00.000Z,AAPL,148.35,149.04,148.26,148.9,68673,False
932,2021-11-01T10:00:00.000Z,AAPL,148.24,148.85,147.82,148.37,179137,False
933,2021-11-01T09:00:00.000Z,AAPL,148.91,149.66,148.12,148.24,147150,False
